filename,width,height,media_type
/PC_1827-1831_Berney_Vol-1_folio_054.jpg,3346,4724,image/jpeg
/PC_1827-1831_Berney_Vol-1_folio_055.jpg,4724,3354,image/jpeg
/PC_1827-1831_Berney_Vol-1_folio_056.jpg,4724,3312,image/jpeg
/PC_1827-1831_Berney_Vol-1_folio_057.jpg,4724,3316,image/jpeg
/PC_1827-1831_Berney_Vol-1_folio_058.jpg,4724,3432,image/jpeg
/PC_1827-1831_Berney_Vol-1_folio_059.jpg,4724,3330,image/jpeg
/PC_1827-1831_Berney_Vol-1_folio_060.jpg,4724,3333,image/jpeg
/PC_1827-1831_Berney_Vol-1_folio_061.jpg,4724,3310,image/jpeg
/PC_1827-1831_Berney_Vol-1_folio_062.jpg,3365,4724,image/jpeg
/PC_1827-1831_Berney_Vol-1_folio_063.jpg,3376,4724,image/jpeg
/PC_1827-1831_Berney_Vol-1_resume_contenances.jpg,3337,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_000_1.jpg,3329,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_000_A-J.jpg,3312,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_000_L-V.jpg,3300,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_064.jpg,3321,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_065.jpg,3307,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_066.jpg,3698,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_067.jpg,4724,3337,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_068.jpg,4724,3305,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_069.jpg,3324,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_070.jpg,3342,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_071.jpg,3440,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_072.jpg,3312,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_073.jpg,3324,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_074.jpg,4724,3299,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_075.jpg,3313,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_076.jpg,3327,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_077.jpg,3296,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_078.jpg,3119,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_079.jpg,2964,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_080.jpg,3331,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_081.jpg,3319,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_082.jpg,3312,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_083.jpg,3304,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_084.jpg,3521,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_085.jpg,3276,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_086.jpg,3060,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_087.jpg,3284,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_088.jpg,3458,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_089.jpg,3363,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_090.jpg,3367,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_091.jpg,4724,3460,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_092.jpg,3335,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_093.jpg,3323,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_094.jpg,4724,3299,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_095.jpg,3218,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_096.jpg,3334,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_097.jpg,3207,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_098.jpg,3294,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_099.jpg,3316,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_100.jpg,3286,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_101.jpg,3327,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_102.jpg,3323,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_103.jpg,3351,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_104.jpg,3320,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_105.jpg,3334,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_106.jpg,3334,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_107.jpg,3324,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_108.jpg,3290,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_109.jpg,3373,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_110.jpg,3316,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_111.jpg,3489,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_112.jpg,4724,3305,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_113.jpg,4724,3451,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_114.jpg,3350,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_115.jpg,3344,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_116.jpg,3303,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_116_legende.jpg,4606,1807,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_117.jpg,3355,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_118.jpg,3301,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_119.jpg,3360,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_120.jpg,3347,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_121.jpg,3338,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_122.jpg,4724,3541,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_123.jpg,3356,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_124.jpg,4724,3314,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_125.jpg,4724,3334,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_126.jpg,3312,4724,image/jpeg
/PC_1827-1831_Berney_Vol-2_folio_127.jpg,3355,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_000_1.jpg,3332,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_000_A-J.jpg,3327,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_000_L-Z.jpg,3314,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_128.jpg,3337,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_129.jpg,3337,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_130.jpg,4724,3337,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_131.jpg,3344,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_132.jpg,3333,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_133.jpg,3337,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_134.jpg,3340,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_135.jpg,3348,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_136.jpg,3344,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_137.jpg,3353,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_138.jpg,3357,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_139.jpg,3335,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_140.jpg,3352,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_141.jpg,3339,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_142.jpg,3381,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_143.jpg,3349,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_144.jpg,3347,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_145.jpg,3346,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_146.jpg,3375,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_147.jpg,3356,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_148.jpg,3359,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_149.jpg,3377,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_150.jpg,3356,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_151.jpg,3335,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_152.jpg,3342,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_153.jpg,3332,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_154.jpg,3338,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_155.jpg,3349,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_156.jpg,3335,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_157.jpg,3329,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_158.jpg,3353,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_159.jpg,3343,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_160.jpg,4724,3328,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_161.jpg,3341,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_162.jpg,3323,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_163.jpg,4724,3334,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_164.jpg,3336,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_165.jpg,3325,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_166.jpg,3327,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_167.jpg,3257,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_168.jpg,4724,3353,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_169.jpg,3307,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_170.jpg,3366,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_171.jpg,3346,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_172.jpg,3365,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_173.jpg,3259,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_174.jpg,3347,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_175.jpg,3281,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_176.jpg,4724,3345,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_177.jpg,4724,3325,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_178.jpg,3334,4724,image/jpeg
/PC_1827-1831_Berney_Vol-3_folio_179.jpg,4724,3341,image/jpeg
/PC_1827-1831_Berney_Vol-4_folio_000_1.jpg,3358,4724,image/jpeg
/PC_1827-1831_Berney_Vol-4_folio_000_B-V.jpg,3354,4724,image/jpeg
/PC_1827-1831_Berney_Vol-4_folio_180.jpg,3342,4724,image/jpeg
/PC_1827-1831_Berney_Vol-4_folio_181.jpg,3361,4724,image/jpeg
/PC_1827-1831_Berney_Vol-4_folio_182.jpg,3293,4724,image/jpeg
/PC_1827-1831_Berney_Vol-4_folio_183.jpg,3294,4724,image/jpeg
/PC_1827-1831_Berney_Vol-4_folio_184.jpg,3336,4724,image/jpeg
/PC_1827-1831_Berney_Vol-4_folio_185.jpg,3352,4724,image/jpeg
/PC_1827-1831_Berney_Vol-4_folio_186.jpg,3381,4724,image/jpeg
/PC_1827-1831_Berney_Vol-4_folio_187.jpg,3175,4724,image/jpeg
/PC_1827-1831_Berney_Vol-4_folio_188.jpg,3433,4724,image/jpeg
/PC_1827-1831_Berney_Vol-4_folio_189.jpg,3334,4724,image/jpeg
/PC_1827-1831_Berney_Vol-4_folio_190.jpg,3348,4724,image/jpeg
/PC_1827-1831_Berney_Vol-4_folio_191.jpg,3378,4724,image/jpeg
/PC_1827-1831_Berney_Vol-4_folio_192.jpg,3374,4724,image/jpeg
/PC_1827-1831_Berney_Vol-4_folio_193.jpg,3372,4724,image/jpeg
/PC_1827-1831_Berney_Vol-4_folio_194.jpg,3341,4724,image/jpeg
