*,use,folio,nr,geometry,agri_categories,use_all
2893,"['Ecurie', 'fenil']",20,[22.0],"POLYGON ((6.625867287984707 46.52225522533577, 6.625866541342265 46.52225250172586, 6.625846778601727 46.52223115770339, 6.625842545381682 46.52222460354857, 6.625841364116396 46.52222459508535, 6.625840235981458 46.52222105326381, 6.625778385116032 46.5222488800225, 6.62577911540495 46.52225269082014, 6.625807028464697 46.52228197620684, 6.625851813007345 46.522262997422644, 6.625867287984707 46.52225522533577))","['ecurie', 'fenil']","Ecurie, fenil"
2895,['Pré'],20,[23.0],"POLYGON ((6.625811234563825 46.52239508598827, 6.625810791762166 46.52239834472851, 6.625834196446077 46.522413191024235, 6.625839725384492 46.52241214333257, 6.625868272017218 46.52239930020203, 6.626026500382865 46.52232595334908, 6.626032861766199 46.52232192152418, 6.62602774294063 46.522321884858535, 6.626019831049881 46.52232427462055, 6.626012763875404 46.52232286486788, 6.625999149954282 46.52231162248119, 6.625989936816481 46.5222957905737, 6.625990440899527 46.52228845488084, 6.62599720829518 46.5222836104881, 6.626016210712568 46.522276950952985, 6.626030447200049 46.52227297553755, 6.626045844522126 46.52227036756549, 6.6260540643558 46.52227368835475, 6.626066148200616 46.52228192968888, 6.626073486553188 46.52229149616242, 6.626075369529899 46.52229721799659, 6.626068955037145 46.522304783182264, 6.626077264764312 46.52230212444029, 6.626235902657585 46.52222769292841, 6.626425355073971 46.52214668616576, 6.626462666121412 46.522127109984496, 6.626533338343564 46.522088744788725, 6.626628097074397 46.5220198356126, 6.626912185993162 46.5218517055762, 6.626913744676791 46.521852804033, 6.627041244279845 46.52219975078081, 6.627044792155534 46.52219950433629, 6.627078047125788 46.52218778189182, 6.627117269611747 46.52217202473529, 6.627162865594982 46.52215142028636, 6.627181827020444 46.52214747852466, 6.627201616753363 46.52214082442408, 6.62710216237986 46.52184056073892, 6.62711829398542 46.52184149161379, 6.627290078202063 46.521861748144374, 6.62731136123644 46.52186054122578, 6.627452167461681 46.521845782231125, 6.627439685392683 46.52178534760206, 6.627417459369452 46.52169195234649, 6.627412356918593 46.521690828555805, 6.627373611704468 46.52156986073517, 6.627368890778761 46.52156955514888, 6.627340869230011 46.521573703973665, 6.627288853376358 46.521576050232575, 6.627229397058595 46.52157562499017, 6.627143522739201 46.52157745718077, 6.627058488965099 46.521575761581246, 6.62689543763628 46.52155094613782, 6.626860028686489 46.52154878998524, 6.626836768849651 46.52155052632477, 6.626800011286557 46.52155950537073, 6.626729511406865 46.52158645526646, 6.626706027009177 46.521603140404785, 6.626702118081011 46.52160120964601, 6.626696966662354 46.52160334738515, 6.626481842120849 46.52176816505271, 6.626469517385918 46.52177595977483, 6.62640650987874 46.52185461006198, 6.626328878585747 46.52191059404235, 6.626324075946282 46.52191572434884, 6.62635285832036 46.5219395793045, 6.6263571650979 46.521941241097785, 6.626380813118359 46.521913684159315, 6.626383200140727 46.5219120702937, 6.626385164820788 46.52191235618655, 6.626387117248325 46.52191345746985, 6.626384693468281 46.52191751750682, 6.626360655779352 46.52194479982999, 6.626362185864313 46.52194780087206, 6.626403405013239 46.52198261790373, 6.626404935101645 46.5219856189452, 6.626130721442357 46.522099181417346, 6.626128711816455 46.52210188528492, 6.626116821564461 46.52210696482072, 6.625919936521999 46.52218465591219, 6.625842545381682 46.52222460354857, 6.625846778601727 46.52223115770339, 6.625866541342265 46.52225250172586, 6.625867287984707 46.52225522533577, 6.625851813007345 46.522262997422644, 6.62586188717335 46.522273942641135, 6.625868811299151 46.52228486529085, 6.625826766685984 46.522304951016956, 6.625828641463051 46.522311216448735, 6.625781088319595 46.522330990865065, 6.625778693086263 46.52233314831156, 6.625788357145702 46.52234517790237, 6.625788324447944 46.52234735227666, 6.625772451589562 46.52235539332823, 6.625774760991072 46.52235894361436, 6.625771947476342 46.52236272902009, 6.625772706377441 46.52236463724024, 6.625776225658747 46.522366293412844, 6.62577978581291 46.5223652316175, 6.625811234563825 46.52239508598827))",['pre'],Pré
2896,['Vigne'],20,[24.0],"POLYGON ((6.626573871326144 46.52258865120379, 6.626582517664359 46.522589800398784, 6.626655332475239 46.52256612906686, 6.626772026492175 46.52242643016928, 6.626920581458331 46.52228913373529, 6.62696180354301 46.522245121031794, 6.626957910884703 46.52224210309452, 6.626963107248286 46.52223697557849, 6.626968197497451 46.52223891477976, 6.626971367945869 46.522237578333026, 6.626975780878568 46.52223217338527, 6.626971100710041 46.52222914981415, 6.626976301152371 46.52222375050069, 6.626978655520795 46.52222431099725, 6.626981772912281 46.52222650790903, 6.626989331802889 46.52222139729457, 6.626985447307153 46.52221783576463, 6.626994983133851 46.52221219564171, 6.626998141336641 46.52221167458474, 6.627001238322591 46.522215230480164, 6.627041244279845 46.52219975078081, 6.626913744676791 46.521852804033, 6.626912185993162 46.5218517055762, 6.626628097074397 46.5220198356126, 6.626533338343564 46.522088744788725, 6.626462666121412 46.522127109984496, 6.626425355073971 46.52214668616576, 6.626235902657585 46.52222769292841, 6.626077264764312 46.52230212444029, 6.626068955037145 46.522304783182264, 6.626056642378154 46.52231176246897, 6.626032861766199 46.52232192152418, 6.626026500382865 46.52232595334908, 6.625868272017218 46.52239930020203, 6.625839725384492 46.52241214333257, 6.625834196446077 46.522413191024235, 6.62583021392425 46.52241615257769, 6.625706889079906 46.52247289605871, 6.62564306498467 46.522500980432376, 6.625756107368803 46.52268282663254, 6.625839862343442 46.522822058021205, 6.625868662755217 46.5228709212236, 6.625887397099097 46.522908295609966, 6.626179848339527 46.52281307665196, 6.626243554060191 46.52279287408413, 6.626246704134201 46.52279289664165, 6.626250662151369 46.52279156585443, 6.626321896617827 46.522742059942345, 6.626401434962037 46.52266407170434, 6.626432130081897 46.52263928346858, 6.626463031074441 46.522627000696495, 6.626506954651322 46.52261290835894, 6.626527511735596 46.522607618997554, 6.626573871326144 46.52258865120379))",['vigne'],Vigne
2897,['Pré'],20,[26.0],"POLYGON ((6.626750938392184 46.52141834829104, 6.626616280224939 46.52141711268004, 6.626586326699243 46.521418801055255, 6.626586634702558 46.52142451160711, 6.626473731800297 46.521495465457235, 6.626465360960117 46.52150220118062, 6.626477470912586 46.52153490700406, 6.626501498933069 46.52161309309762, 6.626500219043452 46.52167207018882, 6.626503381303067 46.521671277348744, 6.626641333999352 46.52155809790321, 6.6266719875549 46.521536027569674, 6.626763876444163 46.521500804175986, 6.626816018790122 46.521490032455624, 6.626877062254918 46.52148965379391, 6.627013760708377 46.521512377948234, 6.627021237876931 46.52151270326833, 6.626996854096062 46.52145816360953, 6.626974404334215 46.52143217951662, 6.626893406245812 46.52142398884088, 6.626820632014797 46.52141884704443, 6.626750938392184 46.52141834829104))",['pre'],Pré
2898,['Vigne'],20,[25.0],"POLYGON ((6.62710216237986 46.52184056073892, 6.627201616753363 46.52214082442408, 6.627232456087386 46.52213261839505, 6.627421176538648 46.522100261605694, 6.627474066052335 46.52209221318322, 6.627479213408122 46.52209034720574, 6.627505664275633 46.52208591528878, 6.627504244245089 46.52207557574716, 6.62750229586756 46.52207420268627, 6.627501569538318 46.522070120102825, 6.627452167461681 46.521845782231125, 6.62731136123644 46.52186054122578, 6.627290078202063 46.521861748144374, 6.62711829398542 46.52184149161379, 6.62710216237986 46.52184056073892))",['vigne'],Vigne
2902,"['bureau et hangar', 'écurie']",20,[31.0],"POLYGON ((6.628489249726518 46.521253001325036, 6.628452382793757 46.521190489886365, 6.628411298591769 46.521199166724465, 6.628379656176265 46.5212084546369, 6.628241704384191 46.521243078456614, 6.628127762912618 46.52127841730809, 6.628122242285167 46.52127892151744, 6.628015761503448 46.52131567269114, 6.62801102836835 46.521316182522156, 6.628009428918025 46.521317802049175, 6.627990431158777 46.52132419012111, 6.627984983895386 46.521319801979956, 6.627975709203207 46.52130804718606, 6.627971792098718 46.52130666006469, 6.627962139968115 46.52129381526845, 6.627879024750697 46.52132176302514, 6.627899850987261 46.52135099724609, 6.627900208047253 46.52135344623192, 6.627909880556256 46.521364932049025, 6.627944949439696 46.52141601412561, 6.627950867908388 46.5214152409418, 6.628148383947835 46.52134760843841, 6.628489249726518 46.521253001325036))","['ecurie', 'hangar']","Scierie, écurie, chambre, bureau et hangar"
2905,['étable à porcs'],20,[34.0],"POLYGON ((6.6281710413647 46.52122647793083, 6.628368447057069 46.52117708778288, 6.628373054589396 46.521174824634, 6.628373076097841 46.52117338975142, 6.628344385870966 46.52117347183719, 6.628170707378815 46.521221022407005, 6.6281710413647 46.52122647793083))",['etable'],"Porcherie, étable à porcs"
2906,['Pré'],20,[29.0],"POLYGON ((6.627895878000573 46.52114329378218, 6.627796064852622 46.521208090479554, 6.627782571422308 46.521215061510794, 6.627772625796807 46.5212217860731, 6.627770997801885 46.52122530817487, 6.6277261804115 46.52127282920236, 6.627722153225414 46.52127878058786, 6.627754520385976 46.5212999425514, 6.62773017553842 46.52132151461638, 6.627727033704256 46.521320948506265, 6.62770323930253 46.5213058279883, 6.627697759443851 46.521303614208314, 6.627658187069561 46.5213427460964, 6.627627062796409 46.521369978021774, 6.627624290241918 46.52137104550491, 6.627621164717747 46.52136939220443, 6.62761878591214 46.521370462502304, 6.627617113045155 46.521376974367314, 6.627613487744354 46.52138238497008, 6.627549123509786 46.52144661939889, 6.627548295227607 46.52144933173714, 6.627564077835247 46.52144726996812, 6.627810688438573 46.5213620485231, 6.627810323228592 46.52136014313074, 6.627811922686122 46.52135852360658, 6.6278142851795 46.52135854049209, 6.62781583571331 46.52136018253031, 6.627824712553779 46.52137220631991, 6.627821923695336 46.52137436099534, 6.62781840033899 46.52137297668293, 6.627567380966161 46.52146333131887, 6.627468315433561 46.52150448421561, 6.627454071096278 46.52150900340506, 6.62743740307346 46.52151758265231, 6.627438925048314 46.52152112727364, 6.627593362539872 46.52149015602036, 6.627668723713633 46.52148036538269, 6.627693168820492 46.52147836551996, 6.627763305205619 46.52147560494724, 6.627813307346655 46.52147623416532, 6.627854979592267 46.52148088121849, 6.62794256975035 46.521495913965225, 6.627941421111388 46.5214937311488, 6.627922618951368 46.521487072959424, 6.627902286638742 46.52147741374556, 6.627891026882746 46.52146673206255, 6.627888929363908 46.52144904838193, 6.627891450848288 46.521438465187835, 6.627895892159908 46.52143115762602, 6.627909373400002 46.52142500197203, 6.627866941537633 46.52136598430812, 6.627868938819278 46.52136409580032, 6.627900208047253 46.52135344623192, 6.627899850987261 46.52135099724609, 6.627879024750697 46.52132176302514, 6.627962139968115 46.52129381526845, 6.627932871383001 46.5212498421234, 6.627936853703941 46.52124688049606, 6.627917812787018 46.521229891210666, 6.627920605710627 46.52122746473598, 6.627975683148676 46.52120475311773, 6.627999450676953 46.52119540904596, 6.628003790053884 46.52119489640182, 6.628018913886743 46.521210498553046, 6.62801966469905 46.521212950352066, 6.628023959242214 46.52121542747281, 6.628134885154523 46.52117109692316, 6.62813882670535 46.5211708532576, 6.628157769865274 46.521194365631196, 6.628166866814726 46.521191712362366, 6.628169204849875 46.52119336002185, 6.62817791620117 46.52119016034534, 6.628176771634342 46.521187705734356, 6.62817836292555 46.521186629798805, 6.6282313370059 46.52117287328882, 6.62823367911705 46.52117424915007, 6.628256274565106 46.52121681541729, 6.628256221593471 46.52122034877685, 6.628203284148051 46.521231659126435, 6.628199371118287 46.52123000021606, 6.628187501627647 46.521233720984355, 6.628185898109944 46.521235612310704, 6.628122494961043 46.52126207011072, 6.628001035466611 46.52129980155626, 6.628002167799767 46.521303071559586, 6.628030274751209 46.52129321483716, 6.628061486846349 46.52128637038064, 6.628185000586194 46.521242945200704, 6.628409566143173 46.52118338844369, 6.628481809350225 46.52117140039379, 6.628484188130016 46.52117033007778, 6.628522763214132 46.52109259149484, 6.628492030580653 46.521093731155226, 6.628250341768108 46.52111347915771, 6.628245320850263 46.52110691946666, 6.628224788953256 46.521110578357906, 6.628172814334595 46.521110207052786, 6.628113362597149 46.52110951047619, 6.627895878000573 46.52114329378218))",['pre'],Pré
2907,['Pressoir'],20,[38.0],"POLYGON ((6.625988882014362 46.523151763278285, 6.626021084677773 46.52315770229353, 6.626135704609974 46.523129981508454, 6.626121846322197 46.52308258452375, 6.626118786114922 46.52307658243343, 6.625977686194628 46.52311063734609, 6.625972157187527 46.523111685044455, 6.625975776068898 46.52313291339986, 6.625988882014362 46.523151763278285))",['pressoir'],Pressoir
2908,['Vigne'],20,[39.0],"POLYGON ((6.62606802114061 46.52289083347399, 6.626162061278511 46.522843665612, 6.626237943390802 46.522799357731365, 6.626246704134201 46.52279289664165, 6.626243554060191 46.52279287408413, 6.626179848339527 46.52281307665196, 6.625887397099097 46.522908295609966, 6.625941342512985 46.52298723979726, 6.625958997824894 46.52301781078982, 6.625961365942901 46.52304365122899, 6.625970805420223 46.52307062962698, 6.625977686194628 46.52311063734609, 6.626118786114922 46.52307658243343, 6.626106876232101 46.52303055853141, 6.626083278684659 46.522949929008604, 6.62606802114061 46.52289083347399))",['vigne'],Vigne
2915,['Vigne'],20,[46.0],"POLYGON ((6.626088901645457 46.52294262997866, 6.626135532871325 46.52293181908799, 6.626139470473892 46.522931847288596, 6.626141853462874 46.52293050522494, 6.626165934118519 46.52292660029343, 6.62621545235995 46.52290711161226, 6.626322453792539 46.52286221104428, 6.626276692727811 46.52281512929386, 6.626254944484115 46.52279485843229, 6.626165958021067 46.52284641177964, 6.626075461721565 46.522893605027434, 6.626088901645457 46.52294262997866))",['vigne'],Vigne
2923,['Vigne'],20,[52.0],"POLYGON ((6.626574585342498 46.522593549183455, 6.626530202704801 46.52261198747743, 6.626512816101039 46.522615940405416, 6.626453450196311 46.52263563053951, 6.626436810255782 46.52264230706182, 6.626413678226966 46.52266171292601, 6.62632779074749 46.52274291762397, 6.626260104203413 46.52279217711972, 6.626327232008832 46.522858711518836, 6.626344290295892 46.52285040705121, 6.626349872366772 46.52284582597629, 6.62645081436922 46.52278484416667, 6.626453570683648 46.52278486389944, 6.626474555981862 46.522803498304405, 6.626528572775655 46.522772896825366, 6.626740854650712 46.52266650130245, 6.626745600163181 46.52266517613392, 6.626732855170236 46.522648503534874, 6.626658835465197 46.5225688723994, 6.626581668899969 46.522593871713916, 6.626574585342498 46.522593549183455))",['vigne'],Vigne
2930,['Vigne'],20,[61.0],"POLYGON ((6.626658843630926 46.52256832880574, 6.626658835465197 46.5225688723994, 6.626732855170236 46.522648503534874, 6.626973237734867 46.522558890075366, 6.627031044660472 46.522538101214394, 6.627044477303571 46.5225352072253, 6.627021204931903 46.52248529657115, 6.626924421058302 46.52229568503255, 6.626917268151534 46.522299983069516, 6.626836976228847 46.52237579166017, 6.62677749417991 46.52242945938428, 6.626704511785331 46.52251673688603, 6.626662030437677 46.522565905180386, 6.626658851796655 46.522567785212125, 6.626658843630926 46.52256832880574))",['vigne'],Vigne
2937,['Vigne'],20,[67.0],"POLYGON ((6.627043561291767 46.52251753198066, 6.627047490702838 46.52251810374347, 6.627094921127846 46.52250648270204, 6.627096520640663 46.52250486318806, 6.627116286031376 46.522499839883444, 6.627121798631678 46.52249987931667, 6.627285036381047 46.522460001154364, 6.627288612830543 46.522457852124354, 6.627299666580316 46.52245602839602, 6.627322987984273 46.522450215009144, 6.627323000222834 46.5224493996186, 6.627242655166092 46.52226642974392, 6.62719322142307 46.52214919098192, 6.627164367168211 46.522156323895494, 6.627113627885518 46.522178522509286, 6.62707084935704 46.5221950697037, 6.62701503199382 46.52221451368623, 6.62699995911033 46.52222174515287, 6.626974842361808 46.522242224233665, 6.626929256326454 46.52228838032611, 6.626924421058302 46.52229568503255, 6.627021204931903 46.52248529657115, 6.627025544421525 46.5224847839644, 6.627043561291767 46.52251753198066), (6.627040690831769 46.52247266015156, 6.627029943144414 46.522454099092556, 6.627052878981485 46.52244773935051, 6.62706288813154 46.52246303321168, 6.627062839161607 46.52246629477365, 6.627040690831769 46.52247266015156))",['vigne'],Vigne
2942,['Vigne'],20,[72.0],"POLYGON ((6.62747480869473 46.5220952085794, 6.627235159329683 46.522136171467814, 6.62719322142307 46.52214919098192, 6.627242655166092 46.52226642974392, 6.627323000222834 46.5224493996186, 6.627581495957113 46.52238600971614, 6.627588608040687 46.52238442960585, 6.627600071834181 46.52238152147585, 6.627599369962198 46.52237580811203, 6.627543300451105 46.522228349382324, 6.627505664275633 46.52208591528878, 6.627479213408122 46.52209034720574, 6.627474066052335 46.52209221318322, 6.62747480869473 46.5220952085794))",['vigne'],Vigne
2947,['Vigne'],20,[78.0],"POLYGON ((6.628316550442976 46.52187180296234, 6.628309020248202 46.52187501108701, 6.628309762933826 46.52187800647779, 6.627988415084247 46.52195753029562, 6.627976159818658 46.521960704634324, 6.627527955138717 46.522070036930295, 6.627568217142819 46.52222118822156, 6.627590973804992 46.52227924985465, 6.627620619658236 46.52227185066578, 6.627803350136981 46.522218791641954, 6.627974583920555 46.52217081486786, 6.627975789642323 46.52216919252777, 6.627982101947739 46.522168422156035, 6.628255364144618 46.522091816777476, 6.628364902614619 46.52206133920749, 6.628383482389432 46.52205657904216, 6.628380880930162 46.52204623107462, 6.628378624335488 46.52203914748194, 6.628325066321431 46.521881649525014, 6.628322014086652 46.52187510389994, 6.628323244238141 46.521871850774794, 6.628320496118477 46.52187128749362, 6.628316550442976 46.52187180296234))",['vigne'],Vigne
2948,['Serre'],20,[80.0],"POLYGON ((6.628502803385221 46.52210907813151, 6.628484461266074 46.52207170698721, 6.62847499079868 46.522072998484965, 6.628414096000561 46.522089688630636, 6.628410917448385 46.5220915687114, 6.628421231043154 46.52211284479669, 6.628414906528436 46.52211443058351, 6.628410157031102 46.52211602761865, 6.628410152957066 46.52211629941556, 6.628418197730597 46.5221313072997, 6.62842411219679 46.522130805888125, 6.628502803385221 46.52210907813151))",['serre'],Serre
2953,['Pré'],20,[79.0],"POLYGON ((6.629023690698923 46.521853202886064, 6.628968307642841 46.52171227360237, 6.628676201216908 46.52178521239861, 6.628325249671421 46.52186941866526, 6.628323244238141 46.521871850774794, 6.628322014086652 46.52187510389994, 6.628325066321431 46.521881649525014, 6.628330968537949 46.52188196350893, 6.628384161334739 46.52203755607261, 6.628378624335488 46.52203914748194, 6.628380880930162 46.52204623107462, 6.628385999731248 46.52204626763424, 6.628393942634849 46.52206807044219, 6.628697977607379 46.521987606395875, 6.62869798575254 46.521987062802104, 6.628708649677671 46.52198496432849, 6.628716175791564 46.521982027974204, 6.629015898874455 46.52190017316975, 6.62903884645595 46.52189299763583, 6.629027887636921 46.52186220309456, 6.629032231128461 46.521861418614236, 6.629028813553091 46.52185296761978, 6.629023690698923 46.521853202886064), (6.629010955139854 46.52188844937152, 6.629006989114576 46.52189032384879, 6.628978557487848 46.52189555745504, 6.62896929876604 46.52188271555498, 6.628945563674042 46.521889885454144, 6.628926545467366 46.52189763266703, 6.628931939937074 46.52190555412264, 6.628931919580077 46.52190691310715, 6.62892875327087 46.52190797781173, 6.628918702981572 46.52189540208365, 6.628920696174596 46.5218937853543, 6.628966209812262 46.52187861611937, 6.628998213703062 46.52187150522923, 6.629003332488028 46.521871541761, 6.629010955139854 46.52188844937152))",['pre'],Pré
2954,['Hangar'],20,[35.0],"POLYGON ((6.628529038008611 46.521336949686265, 6.628527790790678 46.5213369407798, 6.628408034855806 46.52136536027277, 6.62846988381619 46.521483187946366, 6.628578830733618 46.52145469120464, 6.628587630087373 46.52145016192108, 6.628590540268657 46.52145018270118, 6.628585719109203 46.52143895499369, 6.628579599124355 46.52143116209845, 6.628544826063423 46.521365476144304, 6.628529869487231 46.52133695562388, 6.628529038008611 46.521336949686265))",['hangar'],Hangar
2956,['Pré'],20,[37.0],"POLYGON ((6.627897244392394 46.521551042558265, 6.627909022618228 46.52157966846199, 6.627908592179085 46.521582111819946, 6.627904252770206 46.52158262446043, 6.627889020478788 46.521547993699215, 6.627878766664907 46.521549007722456, 6.627879087035311 46.52155390288018, 6.627877106053696 46.52155470420062, 6.627891210083471 46.521585793162174, 6.627886464693699 46.52158711837864, 6.627869222893746 46.52155519151342, 6.627794088241867 46.52157612876996, 6.62764886004517 46.52162320386704, 6.627456871208951 46.52168978773057, 6.627425285448099 46.521695270220974, 6.627503597277456 46.52203996191368, 6.627517394975871 46.522038973261886, 6.627520553163515 46.52203845219039, 6.627522858587686 46.522042274237904, 6.627523576761199 46.52204690041487, 6.627524725395053 46.52204908323548, 6.627519996269688 46.5220493212492, 6.627505800736198 46.522050578882826, 6.627508295985787 46.52206799358854, 6.627526855445903 46.52206459254753, 6.627607495277357 46.5220442384716, 6.627956472154413 46.521960563948205, 6.627975823132246 46.52195689666447, 6.627976159818658 46.521960704634324, 6.627988415084247 46.52195753029562, 6.627988468074082 46.52195399693631, 6.628004295648792 46.52194894534053, 6.628302716130777 46.52187523788316, 6.628299319041315 46.52186542788237, 6.628301706004339 46.521863813976445, 6.62831671342243 46.52186093108705, 6.62829567785136 46.52179309616079, 6.628288457337622 46.521775647721036, 6.628285717372473 46.52177454084521, 6.628284183111113 46.52177181162592, 6.628187777614142 46.521583019361, 6.628185821086768 46.52158218990555, 6.627907104456021 46.521550025719435, 6.627900016950723 46.5215499750685, 6.627897244392394 46.521551042558265))",['pre'],Pré
2957,['Pré'],20,[85.0],,['pre'],Pré
2959,"['Ecurie', 'fenil']",20,[87.0],,"['ecurie', 'fenil']","Ecurie, fenil"
2960,['Pré'],20,[88.0],,['pre'],Pré
2962,['Pré'],20,[90.0],,['pre'],Pré
2964,['Pré'],20,[92.0],,['pre'],Pré
2988,['écurie'],21,[18.0],"POLYGON ((6.627661196017105 46.523148238438665, 6.627600789114639 46.523168134030456, 6.627639479586464 46.52322438064653, 6.627565287008184 46.52324891145414, 6.627564056010567 46.52325029494259, 6.627587773557637 46.523282765613, 6.627591408062442 46.523282513138405, 6.627710196884037 46.5232432643724, 6.627714638124393 46.52324301766043, 6.627715444863161 46.52324302342694, 6.627721944720973 46.523240006851154, 6.627672668134282 46.523163357169125, 6.627661196017105 46.523148238438665))",['ecurie'],"Remise, écurie, bûcher"
2991,['Ecurie'],21,[21.0],"POLYGON ((6.627897256116783 46.523117067628746, 6.62775465642148 46.523156981772836, 6.62774754197626 46.523147184897056, 6.627743512466476 46.5231468776375, 6.627700945721235 46.52316077472468, 6.627706064201261 46.52316916504705, 6.627705631592465 46.523171111159606, 6.627690236740786 46.52317545644099, 6.627726847808828 46.5232358650302, 6.627727192699729 46.52323976590516, 6.627729608738884 46.523240061632436, 6.627855703950498 46.52319780190398, 6.62786420393494 46.52319591344575, 6.627869880335588 46.52319400480796, 6.627871922238424 46.52319234865358, 6.627911249485033 46.523179263725886, 6.627934749281459 46.52317247021257, 6.627972883095143 46.52315826290407, 6.627972496429428 46.52315714630972, 6.627972122291023 46.52315519443149, 6.627940721384222 46.52309705081716, 6.627937532021194 46.52309452190552, 6.627892162669078 46.52310700674709, 6.627897256116783 46.523117067628746))",['ecurie'],"Ecurie, sellerie"
3002,['Hangar'],21,[32.0],"POLYGON ((6.627861800101374 46.52332927756773, 6.627916804588837 46.52331992462777, 6.627885528932422 46.52325342815902, 6.62786420393494 46.52319591344575, 6.627855703950498 46.52319780190398, 6.627729608738884 46.523240061632436, 6.627729957807027 46.523243684079375, 6.627754335998705 46.52328590546069, 6.627831289481238 46.52326557112938, 6.627834915630794 46.523265875502986, 6.627861800101374 46.52332927756773))",['hangar'],Hangar
3007,"['Ecurie', 'fenil']",21,[37.0],"POLYGON ((6.627935921804501 46.52317498471189, 6.627922527110738 46.5231804581491, 6.627871452048844 46.52319680061866, 6.627893180423865 46.5232543182132, 6.627909369492287 46.52325081395344, 6.62790981044657 46.5232483109841, 6.627901241176957 46.52322792232419, 6.627917035219813 46.523223858324734, 6.627917081156395 46.52322079561689, 6.627912765201037 46.52321268949717, 6.627919668413352 46.52320967579262, 6.627982445350388 46.523193138461075, 6.627990126064622 46.5231920795128, 6.62797772352035 46.523158297492124, 6.627972883095143 46.52315826290407, 6.627934749281459 46.52317247021257, 6.627935921804501 46.52317498471189))","['ecurie', 'fenil']","Ecurie, fenil"
3009,['écurie'],21,[39.0],"POLYGON ((6.628051470064956 46.52335179570722, 6.628039345552813 46.52332636941534, 6.627997685698162 46.52333359010604, 6.628012328967364 46.523379361821014, 6.628058450981343 46.52337050225957, 6.628051470064956 46.52335179570722))",['ecurie'],"Chambre à lessive, écurie"
3043,['Hangar'],21,[73.0],"POLYGON ((6.628505577597005 46.52303787593944, 6.628507981112395 46.52303900693417, 6.628530081487691 46.52307174431433, 6.628570202705583 46.52305950020314, 6.628570643627747 46.52305699723123, 6.628563117334556 46.52304775438228, 6.628540260287591 46.52301167011173, 6.628533793885731 46.52301245931029, 6.628500979218236 46.52302169254918, 6.628497714718568 46.523024175357484, 6.628505610981091 46.523035648515304, 6.628505577597005 46.52303787593944))",['hangar'],Hangar
3049,['Hangar'],21,[79.0],"POLYGON ((6.62860087673516 46.523031594986556, 6.628597354910453 46.52302432993706, 6.628595783164706 46.52302153413643, 6.628593413028715 46.523018175719365, 6.628590660388141 46.523013422282126, 6.628586336003252 46.52300587304393, 6.628584760086005 46.52300335567112, 6.628582394124105 46.5229997188259, 6.628567826990332 46.52300267784653, 6.628545125736879 46.52301003410755, 6.628573920644029 46.52305367913681, 6.628607571261783 46.52304250264093, 6.62860087673516 46.523031594986556))",['hangar'],Hangar
3050,['Hangar'],21,[80.0],"POLYGON ((6.628624145436471 46.522986372504285, 6.628588881386629 46.522997537484486, 6.628614466068794 46.52304004575014, 6.628618911460769 46.5230395205748, 6.62865946103581 46.52302560874402, 6.628634670543099 46.52298394153251, 6.628628620030561 46.5229838983324, 6.628627455824236 46.52298082698417, 6.628625060653711 46.52297913913592, 6.628582523429776 46.522910334792506, 6.628577657990574 46.52291197079831, 6.628617072580608 46.522973791402706, 6.628621371932764 46.5229830112078, 6.628624145436471 46.522986372504285))",['hangar'],Hangar
3056,['Hangar'],21,[86.0],"POLYGON ((6.628716157814348 46.5230109768042, 6.628685333462061 46.52296815269583, 6.628670757998103 46.522971668585754, 6.628634670543099 46.52298394153251, 6.62865946103581 46.52302560874402, 6.628663843843232 46.52302925998718, 6.628714107600312 46.52301318982979, 6.628716149470497 46.52301153366023, 6.628716157814348 46.5230109768042))",['hangar'],Hangar
3064,['hangar'],21,[94.0],"POLYGON ((6.628535520048478 46.52292420051045, 6.628511550361226 46.5228546933508, 6.628459390881778 46.52286267460323, 6.628459382535307 46.52286323145925, 6.628503886253047 46.52301614415223, 6.628621371932764 46.5229830112078, 6.628617072580608 46.522973791402706, 6.628577657990574 46.52291197079831, 6.628535520048478 46.52292420051045))",['hangar'],"Atelier, hangar"
3068,['écurie'],21,[98.0],"POLYGON ((6.628577244750307 46.522616524109566, 6.628561921062093 46.52261613623287, 6.62852195456813 46.522618078504735, 6.62850242196642 46.522629355792716, 6.628552312635702 46.52274582896395, 6.628559190716579 46.522744485788564, 6.628632142849836 46.52272189468738, 6.628636613249383 46.52271969894316, 6.628577244750307 46.522616524109566))",['ecurie'],"Logement, remise, écurie"
3069,['Hangar'],21,[99.0],"POLYGON ((6.628678119882498 46.52285727498797, 6.628718236735994 46.522845309252425, 6.628714328228924 46.522836927614655, 6.628688285961595 46.522798036055605, 6.628649391751894 46.5228091751364, 6.628646942348823 46.52281110685282, 6.628678119882498 46.52285727498797))",['hangar'],Hangar
3082,['Hangar'],21,[112.0],"POLYGON ((6.629019449100205 46.522908163056904, 6.629006243415525 46.52287409696282, 6.628909505100901 46.52289568316027, 6.628908681683472 46.52289679111435, 6.628939006876848 46.522946016127904, 6.628956002519742 46.522942517476764, 6.628959662019316 46.52294059439018, 6.629024442650771 46.52292490616088, 6.629019449100205 46.522908163056904))",['hangar'],Hangar
