*,use,folio,nr,geometry,agri_categories,use_all
527,['Hangar'],2,[291.0],"POLYGON ((6.63103911270041 46.5210856026063, 6.630973883993997 46.520987891256375, 6.631006047687648 46.52095532096888, 6.631011925293912 46.52095248568373, 6.631012415122496 46.52094759805113, 6.63101079106958 46.52094470935984, 6.630994318263173 46.520959265444375, 6.630918549171023 46.52103698390816, 6.630917251606515 46.521040139511726, 6.630932938015083 46.52105032115112, 6.630976675905919 46.521107887425224, 6.631012693496344 46.52109634761712, 6.63103911270041 46.5210856026063))",['hangar'],Hangar
528,"['fenil', 'écurie']",2,[292.0],"POLYGON ((6.631001135624779 46.52114460110567, 6.63099874252059 46.521137391245254, 6.630995034661518 46.521134487718484, 6.630976675905919 46.521107887425224, 6.630932938015083 46.52105032115112, 6.630917251606515 46.521040139511726, 6.630913479277184 46.52104155121716, 6.630899098810938 46.52105554675993, 6.630741729514272 46.521210654275016, 6.630736616592173 46.521218098399245, 6.630739916281599 46.5212204236018, 6.63074448775235 46.52122131929662, 6.630792088499992 46.52124352446032, 6.63079627330823 46.52124240340899, 6.630866079002613 46.52120118210447, 6.630994407283088 46.52114858118545, 6.631001135624779 46.52114460110567))","['ecurie', 'fenil']","Maison d'habitation, écurie, fenil"
614,"['Grange', 'fenil', 'écurie']",4,[3.0],"POLYGON ((6.635522012377556 46.52536820454178, 6.635514289090624 46.525387813793344, 6.635508500849467 46.52538834278709, 6.635504645554047 46.525397719980795, 6.635499858720631 46.525414215190224, 6.635495632922729 46.52542073991669, 6.635471762217597 46.52549894164312, 6.635474558954888 46.52550523109923, 6.635485595593026 46.52551271882534, 6.635589686784503 46.525509750865666, 6.635610898231703 46.52544378462262, 6.635606369677693 46.525442897615584, 6.635601015441155 46.525442004764, 6.63562285355371 46.52538943722163, 6.635538904977444 46.525370603997274, 6.635522012377556 46.52536820454178))","['ecurie', 'fenil', 'grange']","Grange, écurie, fenil, chambre"
649,"['Hangar', 'fenil', 'écurie']",4,[38.0],"POLYGON ((6.634393359469274 46.52480163974543, 6.634427118778085 46.5248081487162, 6.634442554835076 46.524797428726345, 6.634445866005323 46.524796882228635, 6.634448794016818 46.52479433812362, 6.6344480065012 46.52479176768121, 6.634397573747097 46.5247403979609, 6.634333352494389 46.52478326032261, 6.63433539123403 46.524784984682945, 6.634390916370727 46.52479934255071, 6.634392533796494 46.52480163389228, 6.634393359469274 46.52480163974543))","['ecurie', 'fenil', 'hangar']","Hangar, écurie, fenil"
652,"['Ecurie', 'fenil']",4,[41.0],,"['ecurie', 'fenil']","Ecurie, fenil"
657,['Hangar (séchoir)'],4,[46.0],"POLYGON ((6.6339514752217 46.52461440642191, 6.633948176784496 46.52461409804205, 6.633926897355611 46.524629051285046, 6.63392645906613 46.524630758083106, 6.633964849826045 46.524658958864045, 6.633970225169009 46.52465842702082, 6.633993585741492 46.52464234859226, 6.633991976821501 46.524639487336266, 6.6339514752217 46.52461440642191))",['hangar'],Hangar (séchoir)
664,['Hangar'],4,[56.0],"POLYGON ((6.633649554730703 46.524566097054894, 6.633606723722851 46.524503381534345, 6.633601331415282 46.52450505317787, 6.633601706052415 46.52450762069675, 6.633662298619337 46.524597535772756, 6.633664686508686 46.524603537390064, 6.633666737951565 46.52460440689929, 6.633667116836259 46.52460668946355, 6.6336687257381 46.52460955072421, 6.633688543012804 46.52463733482839, 6.633691420127558 46.52463821019543, 6.63377184959625 46.52461598206637, 6.63374641384775 46.52457732870535, 6.63371565796767 46.52453550276302, 6.633649554730703 46.524566097054894))",['hangar'],Hangar
673,['Hangar'],4,[61.0],"POLYGON ((6.633377158269112 46.52450374721939, 6.633373017192571 46.52450457277979, 6.633466511970135 46.524575342550506, 6.633547770222796 46.52452519198143, 6.63355154090774 46.524521513941245, 6.633473831420989 46.52444430162755, 6.633462208407296 46.52444849390499, 6.633377158269112 46.52450374721939))",['hangar'],Hangar
675,['Hangar'],4,[63.0],"POLYGON ((6.633411168800953 46.5244102287171, 6.633448316390303 46.52443870583688, 6.633454466445087 46.52444159933055, 6.633499881281275 46.52441399316108, 6.633499498160348 46.524411995550615, 6.633460805350758 46.524376382868354, 6.633457494196291 46.52437692933736, 6.633407925565811 46.52440621591473, 6.633407887359746 46.524408780504096, 6.633408295947968 46.52440906838863, 6.633408287457735 46.52440963829736, 6.633411168800953 46.5244102287171))",['hangar'],Hangar
694,['Hangar'],4,[86.0],"POLYGON ((6.633183336709775 46.52418347365324, 6.633247890320067 46.52414602900431, 6.633250826844528 46.52414291502133, 6.633223515325015 46.5241193524011, 6.633220204183881 46.524119898863226, 6.633151071222056 46.524159875843914, 6.633180859720126 46.52418345606741, 6.633183336709775 46.52418347365324))",['hangar'],Hangar
